gene	KOG_class
LOC101848160	Transcription 
LOC101848485	Transcription 
LOC101848712	NA
LOC101849262	Posttranslational modification, protein turnover, chaperones 
LOC101849511	Translation, ribosomal structure and biogenesis 
LOC101849741	Transcription 
LOC101849981	Coenzyme transport and metabolism 
LOC101850454	Energy production and conversion 
LOC101850861	Signal transduction mechanisms 
LOC101852294	NA
LOC101852663	NA
LOC101852896	Replication, recombination and repair 
LOC101853425	NA
LOC101853661	Transcription 
LOC101854062	
LOC101856232	Posttranslational modification, protein turnover, chaperones 
LOC101856483	Coenzyme transport and metabolism 
LOC101857161	Coenzyme transport and metabolism 
LOC101857379	Lipid transport and metabolism 
LOC101857617	Lipid transport and metabolism 
LOC101857850	Intracellular trafficking, secretion, and vesicular transport 
LOC101858081	Replication, recombination and repair 
LOC101858321	NA
LOC101858987	Posttranslational modification, protein turnover, chaperones 
LOC101859615	Carbohydrate transport and metabolism 
LOC101860781	Secondary metabolites biosynthesis, transport and catabolism 
LOC101861926	NA
LOC101862847	Posttranslational modification, protein turnover, chaperones 
LOC101863477	Cell wall/membrane/envelope biogenesis 
LOC101863709	Transcription 
LOC101863948	Signal transduction mechanisms 
LOC101864192	Transcription 
LOC101845439	Secondary metabolites biosynthesis, transport and catabolism 
LOC101850053	Amino acid transport and metabolism 
LOC101850527	Intracellular trafficking, secretion, and vesicular transport 
LOC101850769	Translation, ribosomal structure and biogenesis 
LOC101851843	Inorganic ion transport and metabolism 
LOC101852069	Inorganic ion transport and metabolism 
LOC101852296	Intracellular trafficking, secretion, and vesicular transport 
LOC101852526	Intracellular trafficking, secretion, and vesicular transport 
LOC101853210	Translation, ribosomal structure and biogenesis 
LOC101853427	Cytoskeleton 
LOC101853427	Cell cycle control, cell division, chromosome partitioning 
LOC101853662	Signal transduction mechanisms 
LOC101853900	Extracellular structures 
LOC101854132	Cell cycle control, cell division, chromosome partitioning 
LOC101856946	Intracellular trafficking, secretion, and vesicular transport 
LOC101858229	NA
LOC101858760	Posttranslational modification, protein turnover, chaperones 
LOC101858989	Signal transduction mechanisms 
LOC101859532	NA
LOC101859903	Lipid transport and metabolism 
LOC101859903	Secondary metabolites biosynthesis, transport and catabolism 
LOC101860301	Signal transduction mechanisms 
LOC101861337	Cell wall/membrane/envelope biogenesis 
LOC101861337	Carbohydrate transport and metabolism 
LOC101861704	NA
LOC101862389	NA
LOC101863228	Signal transduction mechanisms 
LOC101864273	Signal transduction mechanisms 
LOC101864497	Translation, ribosomal structure and biogenesis 
LOC101844967	Replication, recombination and repair 
LOC101845374	Inorganic ion transport and metabolism 
LOC101845594	NA
LOC101846476	Posttranslational modification, protein turnover, chaperones 
LOC101846855	NA
LOC101847081	Chromatin structure and dynamics 
LOC101847304	NA
LOC101847547	Secondary metabolites biosynthesis, transport and catabolism 
LOC101847785	Signal transduction mechanisms 
LOC101848014	NA
LOC101848257	Signal transduction mechanisms 
LOC101848629	NA
LOC101848861	Inorganic ion transport and metabolism 
LOC101849263	NA
LOC101849512	RNA processing and modification 
LOC101849742	Chromatin structure and dynamics 
LOC101850222	Signal transduction mechanisms 
LOC101850455	NA
LOC101850925	NA
LOC101852297	NA
LOC101852527	NA
LOC101856553	Amino acid transport and metabolism 
LOC101856775	NA
LOC101857163	NA
LOC101857619	RNA processing and modification 
LOC101858823	Posttranslational modification, protein turnover, chaperones 
LOC101859064	Posttranslational modification, protein turnover, chaperones 
LOC101859616	Posttranslational modification, protein turnover, chaperones 
LOC101859835	Posttranslational modification, protein turnover, chaperones 
LOC101860623	NA
LOC101860868	Secondary metabolites biosynthesis, transport and catabolism 
LOC101863710	Lipid transport and metabolism 
LOC101864275	Amino acid transport and metabolism 
LOC101846261	Carbohydrate transport and metabolism 
LOC101846622	Carbohydrate transport and metabolism 
LOC101846856	NA
LOC101847548	Extracellular structures 
LOC101850456	NA
LOC101850691	Cell cycle control, cell division, chromosome partitioning 
LOC101850691	Chromatin structure and dynamics 
LOC101850927	NA
LOC101851166	NA
LOC101851620	Carbohydrate transport and metabolism 
LOC101853902	NA
LOC101856856	Intracellular trafficking, secretion, and vesicular transport 
LOC101857532	NA
LOC101858540	NA
LOC101859295	Cell cycle control, cell division, chromosome partitioning 
LOC101859990	NA
LOC101860466	Transcription 
LOC101862007	NA
LOC101863401	Posttranslational modification, protein turnover, chaperones 
LOC101863865	NA
LOC101845518	Cell cycle control, cell division, chromosome partitioning 
LOC101847165	Carbohydrate transport and metabolism 
LOC101848163	NA
LOC101848401	Lipid transport and metabolism 
LOC101848631	Posttranslational modification, protein turnover, chaperones 
LOC101848863	Amino acid transport and metabolism 
LOC101849105	Replication, recombination and repair 
LOC101849343	Posttranslational modification, protein turnover, chaperones 
LOC101849584	Replication, recombination and repair 
LOC101850385	Translation, ribosomal structure and biogenesis 
LOC101850619	Secondary metabolites biosynthesis, transport and catabolism 
LOC101851464	NA
LOC101851697	Chromatin structure and dynamics 
LOC101852072	NA
LOC101852665	Posttranslational modification, protein turnover, chaperones 
LOC101852898	Cytoskeleton 
LOC101853516	Signal transduction mechanisms 
LOC101853755	NA
LOC101854223	Lipid transport and metabolism 
LOC101855228	Defense mechanisms 
LOC101856147	Signal transduction mechanisms 
LOC101859143	NA
LOC101860546	Lipid transport and metabolism 
LOC101860782	RNA processing and modification 
LOC101861411	NA
LOC101863229	Posttranslational modification, protein turnover, chaperones 
LOC101864041	Posttranslational modification, protein turnover, chaperones 
LOC101864500	NA
LOC101844969	NA
LOC101846182	Intracellular trafficking, secretion, and vesicular transport 
LOC101846399	NA
LOC101846624	Replication, recombination and repair 
LOC101847010	NA
LOC101847239	NA
LOC101848259	Translation, ribosomal structure and biogenesis 
LOC101848488	Energy production and conversion 
LOC101849426	
LOC101851552	Secondary metabolites biosynthesis, transport and catabolism 
LOC101851552	Inorganic ion transport and metabolism 
LOC101851782	NA
LOC101854770	Carbohydrate transport and metabolism 
LOC101857852	Signal transduction mechanisms 
LOC101858827	NA
LOC101859068	Nucleotide transport and metabolism 
LOC101859617	Intracellular trafficking, secretion, and vesicular transport 
LOC101861483	Transcription 
LOC101861930	RNA processing and modification 
LOC101862470	RNA processing and modification 
LOC100533553	Transcription 
LOC101863320	Carbohydrate transport and metabolism 
LOC101863711	Carbohydrate transport and metabolism 
LOC101863949	NA
LOC101864193	NA
LOC101864433	Amino acid transport and metabolism 
LOC101846478	Signal transduction mechanisms 
LOC101847306	Carbohydrate transport and metabolism 
LOC101847550	Posttranslational modification, protein turnover, chaperones 
LOC101847786	Signal transduction mechanisms 
LOC101848260	Replication, recombination and repair 
LOC101848260	Signal transduction mechanisms 
LOC101848260	Transcription 
LOC101849019	Carbohydrate transport and metabolism 
LOC101849513	NA
LOC101849743	NA
LOC101850131	NA
LOC101850386	Cell cycle control, cell division, chromosome partitioning 
LOC101850772	NA
LOC101851621	Secondary metabolites biosynthesis, transport and catabolism 
LOC101851621	Lipid transport and metabolism 
LOC101852300	Lipid transport and metabolism 
LOC101852300	Secondary metabolites biosynthesis, transport and catabolism 
LOC101852530	Posttranslational modification, protein turnover, chaperones 
LOC101853215	Translation, ribosomal structure and biogenesis 
LOC101857462	Inorganic ion transport and metabolism 
LOC101858829	Intracellular trafficking, secretion, and vesicular transport 
LOC101859536	Lipid transport and metabolism 
LOC101859754	Transcription 
LOC101860302	NA
LOC101861016	NA
LOC101861256	Translation, ribosomal structure and biogenesis 
LOC101861708	NA
LOC101861931	Signal transduction mechanisms 
LOC101862160	Posttranslational modification, protein turnover, chaperones 
LOC101862393	Posttranslational modification, protein turnover, chaperones 
LOC101862626	Signal transduction mechanisms 
LOC101862626	Inorganic ion transport and metabolism 
LOC101862990	NA
LOC101863402	Signal transduction mechanisms 
LOC101863951	Cell cycle control, cell division, chromosome partitioning 
LOC101844971	NA
LOC101845974	NA
LOC101846328	RNA processing and modification 
LOC101846552	RNA processing and modification 
LOC101846939	NA
LOC101847468	NA
LOC101848167	Coenzyme transport and metabolism 
LOC101848794	NA
LOC101849020	Cell cycle control, cell division, chromosome partitioning 
LOC101849663	Translation, ribosomal structure and biogenesis 
LOC101850226	Coenzyme transport and metabolism 
LOC101850930	Transcription 
LOC101852980	NA
LOC101853216	Cytoskeleton 
LOC101853216	Signal transduction mechanisms 
LOC101854843	Coenzyme transport and metabolism 
LOC101855767	NA
LOC101855995	Energy production and conversion 
LOC101856236	Nucleotide transport and metabolism 
LOC101858908	NA
LOC101859144	Lipid transport and metabolism 
LOC101859377	Posttranslational modification, protein turnover, chaperones 
LOC101859905	Intracellular trafficking, secretion, and vesicular transport 
LOC101860547	Lipid transport and metabolism 
LOC101860784	NA
LOC101861017	Signal transduction mechanisms 
LOC101861414	Transcription 
LOC101861932	Cell cycle control, cell division, chromosome partitioning 
LOC101861932	Cytoskeleton 
LOC101862472	NA
LOC101862851	Signal transduction mechanisms 
LOC101863403	Translation, ribosomal structure and biogenesis 
LOC101863639	Intracellular trafficking, secretion, and vesicular transport 
LOC101863867	Secondary metabolites biosynthesis, transport and catabolism 
LOC101863867	Lipid transport and metabolism 
LOC101864116	Lipid transport and metabolism 
LOC101864116	Secondary metabolites biosynthesis, transport and catabolism 
LOC101864356	Signal transduction mechanisms 
LOC101845296	Energy production and conversion 
LOC101845898	Translation, ribosomal structure and biogenesis 
LOC101846401	Transcription 
LOC101846626	Posttranslational modification, protein turnover, chaperones 
LOC101847241	NA
LOC101847469	NA
LOC101847701	Intracellular trafficking, secretion, and vesicular transport 
LOC101848169	Inorganic ion transport and metabolism 
LOC101848169	Amino acid transport and metabolism 
LOC101848169	Signal transduction mechanisms 
LOC101852590	Amino acid transport and metabolism 
LOC101853051	Coenzyme transport and metabolism 
LOC101853051	Energy production and conversion 
LOC101854138	NA
LOC101854384	NA
LOC101855618	Intracellular trafficking, secretion, and vesicular transport 
LOC101856555	Intracellular trafficking, secretion, and vesicular transport 
LOC101857463	NA
LOC101857698	Translation, ribosomal structure and biogenesis 
LOC101858155	Posttranslational modification, protein turnover, chaperones 
LOC101858381	Carbohydrate transport and metabolism 
LOC101858597	Posttranslational modification, protein turnover, chaperones 
LOC101858597	Cell cycle control, cell division, chromosome partitioning 
LOC101858831	Transcription 
LOC101859458	Lipid transport and metabolism 
LOC101859906	NA
LOC101860305	RNA processing and modification 
LOC101860713	Cell wall/membrane/envelope biogenesis 
LOC101860713	Carbohydrate transport and metabolism 
LOC101861486	Defense mechanisms 
LOC101845064	Signal transduction mechanisms 
LOC101846627	Inorganic ion transport and metabolism 
LOC101847789	Carbohydrate transport and metabolism 
LOC101847789	Cell wall/membrane/envelope biogenesis 
LOC101848016	Carbohydrate transport and metabolism 
LOC101848016	Cell wall/membrane/envelope biogenesis 
LOC101850300	Amino acid transport and metabolism 
LOC101850300	Intracellular trafficking, secretion, and vesicular transport 
LOC101852075	Lipid transport and metabolism 
LOC101852750	Signal transduction mechanisms 
LOC101852982	Lipid transport and metabolism 
LOC101853366	RNA processing and modification 
LOC101853992	NA
LOC101854226	Intracellular trafficking, secretion, and vesicular transport 
LOC101854468	NA
LOC101855313	Transcription 
LOC101855697	Intracellular trafficking, secretion, and vesicular transport 
LOC101855697	Lipid transport and metabolism 
LOC101856237	NA
LOC101856862	Posttranslational modification, protein turnover, chaperones 
